SKU*,Parent SKU,Parent SKU Colour,Name,Brand,Description(No html),Features,Specifications,Specifics,Date Added,In Stock,In Promotion,UPC/EAN,Type,"All Variation SKUs (Delimited by “,”)",Image URL,Product URL,RRP,"Current Price (A - if on promotion, promotion price used)",Product Category Full Path List
10001-001-M7W9,10001-001,10001-001-Black,Crocs Classic Unisex Clogs - Black - US M7/W9,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US7;Best Use:Everyday;Gender:Unisex;Colour:Black,2023-02-09 00:00:00,y,0,841158002443,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M7W9.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m7-w9/10001-001-M7W9,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-001-M8W10,10001-001,10001-001-Black,Crocs Classic Unisex Clogs - Black - US M8/W10,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US8;Best Use:Everyday;Gender:Unisex;Colour:Black,2023-02-09 00:00:00,y,0,841158002450,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M8W10.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m8-w10/10001-001-M8W10,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-001-M9W11,10001-001,10001-001-Black,Crocs Classic Unisex Clogs - Black - US M9/W11,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US9;Best Use:Everyday;Gender:Unisex;Colour:Black,2023-02-09 00:00:00,y,0,841158002467,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M9W11.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m9-w11/10001-001-M9W11,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100,,10001-100,Crocs Classic Unisex Clogs - White,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.","<ul>
	<li>Incredibly light and fun to wear</li>
	<li>Water-friendly and buoyant; weighs only ounces</li>
	<li>Ventilation ports add breathability and help shed water and debris</li>
	<li>Easy to clean and quick to dry</li>
	<li>Pivoting heel straps for a more secure fit</li>
	<li>Customizable with Jibbitz charms</li>
	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li>
</ul>
",,Best Use:Everyday;Gender:Unisex,2023-02-09 00:00:00,y,0,,Sandals,"10001-100-M10W12,10001-100-M11,10001-100-M12,10001-100-M13,10001-100-M4W6,10001-100-M5W7,10001-100-M6W8,10001-100-M7W9,10001-100-M8W10,10001-100-M9W11",https://www.wildearth.com.au/assets/full/10001-100.jpg,https://www.wildearth.com.au/buy/crocs-classic-unisex-clogs-white/10001-100,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M10W12,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M10/W12,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US10;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185661,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M10W12.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m10-w12/10001-100-M10W12,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts for Him;All Products > Gifts for Her;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M11,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M11,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US11;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185678,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M11.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m11/10001-100-M11,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M12,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M12,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US12;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185685,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M12.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m12/10001-100-M12,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M13,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M13,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US13;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185692,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M13.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m13/10001-100-M13,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M4W6,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M4/W6,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.","<ul>
	<li>Incredibly light and fun to wear</li>
	<li>Water-friendly and buoyant; weighs only ounces</li>
	<li>Ventilation ports add breathability and help shed water and debris</li>
	<li>Easy to clean and quick to dry</li>
	<li>Pivoting heel straps for a more secure fit</li>
	<li>Customizable with Jibbitz charms</li>
	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li>
</ul>
",,Size:US4;Best Use:Everyday;Gender:Unisex;Colour:White,2023-04-03 00:00:00,y,0,883503185609,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M4W6.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m4-w6/10001-100-M4W6,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M5W7,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M5/W7,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US5;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185616,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M5W7.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m5-w7/10001-100-M5W7,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M6W8,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M6/W8,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US6;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185623,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M6W8.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m6-w8/10001-100-M6W8,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M7W9,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M7/W9,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US7;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185630,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M7W9.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m7-w9/10001-100-M7W9,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
10001-100-M8W10,10001-100,10001-100-White,Crocs Classic Unisex Clogs - White - US M8/W10,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul>,,Size:US8;Best Use:Everyday;Gender:Unisex;Colour:White,2023-02-09 00:00:00,y,0,883503185647,Sandals,,https://www.wildearth.com.au/assets/full/10001-100-M8W10.jpg,https://www.wildearth.com.au/buy/crocs-classic-white-m8-w10/10001-100-M8W10,79.99,79.99,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes
