id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,brand,gtin,mpn,item_group_id,color,material,size,gender,age_group,shipping_weight,expiration_date,Intended_use,sale_flag
BR261K01BLK  1700,"Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbls 2000Mm, Saint","Shimano SM-BH90 Brake Hose Need a new brake line? This is a replacement Hose Kit for 2011 and newer Shimano Hydraulic disc brakes. This kit includes supplies for one brake. Need Shimano Mineral Oil? Shop for it here:SHIMANO MINERAL OILCompatible models include:XTR BR-M9000XTR BR-M9020XT BR-M8000SLX BR-M7000XTR BR-M980XTR BR-M988XTR BR-M985XT BR-M788XT BR-M785SLX BR-M675Deore BR-M615ZEE M645 (choose Saint SKU)Saint M820 (choose Saint SKU)Not all models may be listed. Check the service manual for your brakes to determine proper fit. Includes 1 brake hose with hydraulic fittings, compression bushings and banjo bolt2000mm in length A compatible bleed kit, bleed funnel and Shimano Mineral Brake Fluid is needed for installation. This kit does not include Shimano mineral oil and the system will need to be bled before use. | Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbls 2000Mm, Saint",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Brake Parts,Components > Brakes & Shifters > Brake Parts & Accessories > Hydraulic Lines & Fittings,https://www.jensonusa.com/shimano-bh90-sb-brake-hose-kit-single-black-sm-bh90-sbls-2000mm-saint,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/digizuite/102353-en-br261k01-black.jpg",New,in stock,61,50,Shimano,689228319721,ISMBH90SBLSL200,BR261K01,Black,,One Size,,,,,,1
BR261K01BLK  2000,"Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbm, 2000Mm","Shimano SM-BH90 Brake Hose Need a new brake line? This is a replacement Hose Kit for 2011 and newer Shimano Hydraulic disc brakes. This kit includes supplies for one brake. Need Shimano Mineral Oil? Shop for it here:SHIMANO MINERAL OILCompatible models include:XTR BR-M9000XTR BR-M9020XT BR-M8000SLX BR-M7000XTR BR-M980XTR BR-M988XTR BR-M985XT BR-M788XT BR-M785SLX BR-M675Deore BR-M615ZEE M645 (choose Saint SKU)Saint M820 (choose Saint SKU)Not all models may be listed. Check the service manual for your brakes to determine proper fit. Includes 1 brake hose with hydraulic fittings, compression bushings and banjo bolt2000mm in length A compatible bleed kit, bleed funnel and Shimano Mineral Brake Fluid is needed for installation. This kit does not include Shimano mineral oil and the system will need to be bled before use. | Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbm, 2000Mm",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Brake Parts,Components > Brakes & Shifters > Brake Parts & Accessories > Hydraulic Lines & Fittings,https://www.jensonusa.com/shimano-bh90-sb-brake-hose-kit-single-black-sm-bh90-sbm-2000mm,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/digizuite/107425-en-br261k01_silverbanjo.jpg",New,in stock,49,35,Shimano,689228687752,ISMBH90SBML200A,BR261K01,Black,,One Size,,,,,,1
BR406Z02     135,Shimano | V-Brake Noodle Noodle 135 Dgr,"Shimano V-Brake Noodle If your V-brake is feeling sluggish, you probably need a new noodle! These are pre-lined and greased with Shimano grease. Choose the correct bend for your need. Most brake cable routings require a 90deg bend, but in tighter spots you can use a 135deg to guarantee smooth routing for great brake performance. Aluminum construction Compatible with 5mm brake cable Pre-lined and greased for slick performance and no drag | Shimano | V-Brake Noodle Noodle 135 Dgr",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Cables,Components > Cables & Housing > Crimps& Ferrules & Guides,https://www.jensonusa.com/shimano-v-brake-noodle-noodle-135-dgr,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/br406z02-----135.jpg",New,in stock,1.99,,Shimano,22255453493,ASMVBRKC,BR406Z02,Silver,,One Size,,,,,,0
BR406Z02     90,Shimano | V-Brake Noodle Noodle 90 Dgr,"Shimano V-Brake Noodle If your V-brake is feeling sluggish, you probably need a new noodle! These are pre-lined and greased with Shimano grease. Choose the correct bend for your need. Most brake cable routings require a 90deg bend, but in tighter spots you can use a 135deg to guarantee smooth routing for great brake performance. Aluminum construction Compatible with 5mm brake cable Pre-lined and greased for slick performance and no drag | Shimano | V-Brake Noodle Noodle 90 Dgr",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Cables,Components > Cables & Housing > Crimps& Ferrules & Guides,https://www.jensonusa.com/shimano-v-brake-noodle-noodle-90-dgr,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/br406z02-----90.jpg",New,in stock,1.99,,Shimano,22255453509,ASMVBRKL,BR406Z02,Silver,,One Size,,,,,,0
SE403A05BLK       30.9,Thomson | Elite Setback Seatpost | Black | 30.9 X 410 Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 30. 9 X 410 Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-309-x-410-mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000872,SE403A05BLK       30.9,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05BLK  27.2 410,Thomson | Elite Setback Seatpost | Black | 27.2 X 410Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 27. 2 X 410Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-272-x-410mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000599,SE403A05BLK  27.2 410,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05BLK  31.6 367,Thomson | Elite Setback Seatpost | Black | 31.6 X 367Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 31. 6 X 367Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-316-x-367-mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000919,SE403A05BLK  31.6 367,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05SIL  27.2 330,Thomson | Elite Setback Seatpost | Silver | 27.2 X 330Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Silver | 27. 2 X 330Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-silver-272-x-330mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-silver.jpg",New,in stock,121.95,,Thomson,875850001619,SE403A05SIL  27.2 330,SE403A05,Silver,Aluminum,One Size,,,,,Road,0
SE403A05BLK  27.2 250,Thomson | Elite Setback Seatpost | Black | 27.2 X 250Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 27. 2 X 250Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-272-x-250mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000544,SE403A05BLK  27.2 250,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05BLK  31.6 410,Thomson | Elite Setback Seatpost | Black | 31.6 X 410Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 31. 6 X 410Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-316-x-410mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000926,SE403A05BLK  31.6 410,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05BLK  27.2 330,Thomson | Elite Setback Seatpost | Black | 27.2 X 330Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 27. 2 X 330Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-272-x-330mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000568,SE403A05BLK  27.2 330,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05BLK  30.9 367,Thomson | Elite Setback Seatpost | Black | 30.9 X 367Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 30. 9 X 367Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-309-x-367-mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000858,SE403A05BLK  30.9 367,SE403A05,Black,Aluminum,One Size,,,,,Road,0
RA308A00BLK  26   REAR,"Surly | Rear Rack Cromoly | Black | Rear 26""- 29""","Surly Nice Rack Cromoly Surly Nice Racks are expedition-quality bicycle racks for extended touring, camping, etc. The Surly Rack is made from high quality tubular cromoly steel that is built to take abuse and carry a heavy load. Great for anything from commuting to cross-continental globe trekking, the Surly Nice Rack is so much more than ""nice. "" Incredibly strong chromoly steel construction (most cheap racks are aluminum). Chromoly means that in the unlikely event of a failure, you can likely find someone to weld it back together Powder coated for corrosion resistance Includes stainless steel hardware In general, these racks dont fit bikes with disc brakes or suspension, with the exception of Surly disc brake compatible bikes (Ogre, Troll, Disc Trucker). Front racks mount to forks with mid-blade eyelets - about 165mm from the dropout. Most quality touring forks have these. Hardware is included to help them fit forks without eyelets. Rear racks are height-adjustable and has a wide platform to improve carry capacity Front rack weight: 3lbs 13 oz (with mounting hardware) Front rack load capacity: 70lbs Rear rack weight: 2 lbs 9 oz (with mounting hardware) Rear rack load capacity: 80lbs | Surly | Rear Rack Cromoly | Black | Rear 26""- 29""",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Front & Rear Racks,Accessories > Commuting & Touring > Racks,https://www.jensonusa.com/surly-rear-rack-cromoly-black-large,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/surly/ra308a00blk--26---rear.jpg",New,in stock,155,,Surly,708752033979,RA308A00BLK  26   REAR,RA308A00,Black,,L,,,,,,0
SL308A00     6    REAR,"Sram | Mrx Comp Grip Shifter 6 Speed, Rear, Shimano Mtn","SRAM MRX Comp Grip Shifter Get a Grip Whether your ride of choice includes gently rolling terrain or fast downhill descents, the MRX will follow you there with a crisp, positive response on your shifts. The SRAM MRX Comp is a grip twist shifter that is compatible with Shimano rear derailleurs. It features a 1:2 cable pull ratio and comes with a 1900mm cable and a 2012mm cable. The shifters also include handlebar clamps. Features Compatible with Shimano rear derailleurs Shifter Front Derailleur Compatibility: Mountain Triple(friction or index)Weight(claimed): 51 g Drivetrain Spacing: 6, 7 or 8-Speed | Sram | Mrx Comp Grip Shifter 6 Speed, Rear, Shimano Mtn",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Brake Parts,Components > Brakes & Shifters > Mountain Brakes & Shifters > Mountain Shifters,https://www.jensonusa.com/sram-mrx-comp-grip-shifter-6-speed-rear-shimano-mtn,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/sram/sl308a00.jpg",New,in stock,9,,SRAM,710845006500,00.0000.200.650,SL308A00,Black,,One Size,,,,,,0
